,accuracy
0,84.48275923728943
1,85.34482717514038
2,83.62069129943848
3,87.06896305084229
4,91.37930870056152
5,92.24137663841248
6,88.79310488700867
7,93.1034505367279
8,87.06896305084229
9,92.24137663841248
10,96.55172228813171
11,87.93103694915771
12,84.48275923728943
13,87.93103694915771
14,84.48275923728943
15,93.1034505367279
16,87.06896305084229
17,87.06896305084229
18,82.75862336158752
19,88.79310488700867
20,83.62069129943848
21,81.03448152542114
22,85.34482717514038
23,88.79310488700867
24,82.75862336158752
25,85.34482717514038
26,86.20689511299133
27,93.96551847457886
28,94.82758641242981
29,81.8965494632721
30,94.82758641242981
31,91.37930870056152
32,82.75862336158752
33,87.93103694915771
34,86.20689511299133
35,96.55172228813171
36,82.75862336158752
37,80.17241358757019
38,81.8965494632721
39,81.03448152542114
40,87.06896305084229
41,85.34482717514038
42,85.34482717514038
43,88.79310488700867
44,87.06896305084229
45,96.55172228813171
46,93.1034505367279
47,91.37930870056152
48,88.79310488700867
49,95.68965435028076
50,83.62069129943848
51,93.1034505367279
52,80.17241358757019
53,92.24137663841248
54,92.24137663841248
55,82.75862336158752
56,85.34482717514038
57,91.37930870056152
58,82.75862336158752
59,85.34482717514038
60,88.79310488700867
61,93.1034505367279
62,94.82758641242981
63,83.62069129943848
64,85.34482717514038
65,81.8965494632721
66,93.96551847457886
67,85.34482717514038
68,82.75862336158752
69,94.82758641242981
70,93.96551847457886
71,86.20689511299133
72,83.62069129943848
73,81.03448152542114
74,87.06896305084229
75,87.06896305084229
76,94.82758641242981
77,82.75862336158752
78,83.62069129943848
79,91.37930870056152
80,83.62069129943848
81,82.75862336158752
82,97.41379022598267
83,94.82758641242981
84,82.75862336158752
85,90.51724076271057
86,85.34482717514038
87,89.65517282485962
88,91.37930870056152
89,91.37930870056152
90,93.96551847457886
91,90.51724076271057
92,82.75862336158752
93,82.75862336158752
94,93.1034505367279
95,95.68965435028076
96,93.96551847457886
97,93.96551847457886
98,86.20689511299133
99,83.62069129943848
100,93.1034505367279
101,93.96551847457886
102,89.65517282485962
103,84.48275923728943
104,95.68965435028076
105,93.96551847457886
106,87.93103694915771
107,82.75862336158752
108,92.24137663841248
109,87.93103694915771
110,93.1034505367279
111,82.75862336158752
112,89.65517282485962
113,93.96551847457886
114,82.75862336158752
115,88.79310488700867
116,85.34482717514038
117,96.55172228813171
118,93.1034505367279
119,91.37930870056152
120,83.62069129943848
121,91.37930870056152
122,93.1034505367279
123,90.51724076271057
124,84.48275923728943
125,93.96551847457886
126,96.55172228813171
127,81.03448152542114
128,90.51724076271057
129,90.51724076271057
130,93.96551847457886
131,83.62069129943848
132,93.1034505367279
133,83.62069129943848
134,81.8965494632721
135,92.24137663841248
136,96.55172228813171
137,85.34482717514038
138,92.24137663841248
139,85.34482717514038
140,84.48275923728943
141,95.68965435028076
142,87.06896305084229
143,94.82758641242981
144,84.48275923728943
145,91.37930870056152
146,81.8965494632721
147,87.06896305084229
148,85.34482717514038
149,86.20689511299133
150,87.06896305084229
151,95.68965435028076
152,90.51724076271057
153,81.03448152542114
154,86.20689511299133
155,89.65517282485962
156,96.55172228813171
157,95.68965435028076
158,87.93103694915771
159,87.06896305084229
160,86.20689511299133
161,95.68965435028076
162,91.37930870056152
163,87.06896305084229
164,95.68965435028076
165,82.75862336158752
166,84.48275923728943
167,94.82758641242981
168,90.51724076271057
169,87.93103694915771
170,92.24137663841248
171,86.20689511299133
172,81.8965494632721
173,89.65517282485962
174,88.79310488700867
175,93.96551847457886
176,81.8965494632721
177,86.20689511299133
178,85.34482717514038
179,86.20689511299133
180,85.34482717514038
181,90.51724076271057
182,94.82758641242981
183,85.34482717514038
184,96.55172228813171
