,accuracy
0,75.86206793785095
1,75.86206793785095
2,75.0
3,78.44827771186829
4,77.58620977401733
5,79.31034564971924
6,81.8965494632721
7,86.20689511299133
8,76.7241358757019
9,84.48275923728943
10,76.7241358757019
11,81.03448152542114
12,75.86206793785095
13,75.86206793785095
14,85.34482717514038
15,83.62069129943848
16,75.86206793785095
17,78.44827771186829
18,80.17241358757019
19,82.75862336158752
20,75.0
21,80.17241358757019
22,76.7241358757019
23,84.48275923728943
24,77.58620977401733
25,68.1034505367279
26,82.75862336158752
27,72.41379022598267
28,73.2758641242981
29,81.03448152542114
30,74.13793206214905
31,73.2758641242981
32,79.31034564971924
33,71.55172228813171
34,75.86206793785095
35,76.7241358757019
36,82.75862336158752
37,75.0
38,81.8965494632721
39,77.58620977401733
40,74.13793206214905
41,75.0
42,78.44827771186829
43,75.0
44,83.62069129943848
45,77.58620977401733
46,72.41379022598267
47,82.75862336158752
48,75.0
49,82.75862336158752
50,85.34482717514038
51,70.68965435028076
52,77.58620977401733
53,76.7241358757019
54,73.2758641242981
55,84.48275923728943
56,80.17241358757019
57,84.48275923728943
58,80.17241358757019
59,83.62069129943848
60,80.17241358757019
61,82.75862336158752
62,77.58620977401733
63,74.13793206214905
64,79.31034564971924
65,78.44827771186829
66,75.0
67,80.17241358757019
68,81.8965494632721
69,78.44827771186829
70,79.31034564971924
71,77.58620977401733
72,80.17241358757019
73,79.31034564971924
74,78.44827771186829
75,82.75862336158752
76,84.48275923728943
77,78.44827771186829
78,74.13793206214905
79,81.03448152542114
80,81.8965494632721
81,87.06896305084229
82,80.17241358757019
83,77.58620977401733
84,73.2758641242981
85,75.0
86,71.55172228813171
87,77.58620977401733
88,80.17241358757019
89,77.58620977401733
90,79.31034564971924
91,77.58620977401733
92,81.8965494632721
93,83.62069129943848
94,70.68965435028076
95,74.13793206214905
96,80.17241358757019
97,74.13793206214905
98,81.03448152542114
99,75.86206793785095
100,72.41379022598267
101,80.17241358757019
102,75.0
103,69.82758641242981
104,74.13793206214905
105,78.44827771186829
106,82.75862336158752
107,44.82758641242981
108,75.0
109,77.58620977401733
110,68.1034505367279
111,84.48275923728943
112,83.62069129943848
113,73.2758641242981
114,80.17241358757019
115,81.03448152542114
116,74.13793206214905
117,80.17241358757019
118,72.41379022598267
119,68.96551847457886
120,81.03448152542114
121,83.62069129943848
122,77.58620977401733
123,80.17241358757019
124,74.13793206214905
125,72.41379022598267
126,75.0
127,72.41379022598267
128,76.7241358757019
129,80.17241358757019
130,81.03448152542114
131,80.17241358757019
132,80.17241358757019
133,70.68965435028076
134,71.55172228813171
135,77.58620977401733
136,78.44827771186829
137,80.17241358757019
138,76.7241358757019
139,72.41379022598267
140,77.58620977401733
141,82.75862336158752
142,76.7241358757019
143,81.03448152542114
144,70.68965435028076
145,73.2758641242981
146,86.20689511299133
147,76.7241358757019
148,71.55172228813171
149,84.48275923728943
150,81.03448152542114
151,80.17241358757019
152,74.13793206214905
153,75.0
154,81.8965494632721
155,72.41379022598267
156,78.44827771186829
157,68.96551847457886
158,79.31034564971924
159,85.34482717514038
160,76.7241358757019
161,79.31034564971924
162,78.44827771186829
163,81.03448152542114
164,85.34482717514038
165,75.86206793785095
166,84.48275923728943
167,81.8965494632721
168,75.86206793785095
169,75.86206793785095
170,78.44827771186829
171,80.17241358757019
172,73.2758641242981
173,80.17241358757019
174,72.41379022598267
175,75.86206793785095
176,79.31034564971924
177,84.48275923728943
178,78.44827771186829
179,75.0
180,81.03448152542114
181,76.7241358757019
182,79.31034564971924
183,71.55172228813171
184,80.17241358757019
185,77.58620977401733
186,70.68965435028076
187,82.75862336158752
188,72.41379022598267
189,81.03448152542114
